'a 啊
'a'a'a 啊啊啊
'a'a'gen'ting 啊阿根廷
'a'an'shuo 啊按说
'a'an'zhao 啊按照
'a'ban'ben 啊版本
'a'bao 啊报
'a'bao'cun 啊保存
'a'bao'cuo 啊报错
'a'bei'zi 啊被子
'a'ben 啊本
'a'bi'jiao 啊比较
'a'bi'ru 啊比如
'a'bi'wo 啊比我
'a'biao'ge 啊表格
'a'bie 啊别
'a'bie'a 啊别啊
'a'bie'ji 啊别急
'a'bin 阿宾
'a'bing'mei'you 啊并没有
'a'bu'dui 啊不对
'a'bu'geng'xin 啊不更新
'a'bu'guo 啊不过
'a'bu'hui 啊不回
'a'bu'jian'rong 啊不兼容
'a'bu'jie'shou 啊不接受
'a'bu'kai'xin 啊不开心
'a'bu'ke'qi 啊不客气
'a'bu'ke'yi 啊不可以
'a'bu'mai 啊不买
'a'bu'neng 啊不能
'a'bu'shi 啊不是
'a'bu'xing 啊不行
'a'bu'xu'yao 啊不需要
'a'bu'yao 啊不要
'a'bu'yi'ding 啊不一定
'a'bu'yi'yang 啊不一样
'a'bu'ying'gai 啊不应该
'a'bu'zai 啊不在
'a'bu'zhi'chi 啊不支持
'a'bu'zhi'dao 啊不知道
'a'ca 啊擦
'a'cao 啊草
'a'cao 啊操
'a'cao'gong 啊曹工
'a'cha'bu'duo 啊差不多
'a'chang'shi 啊常识
'a'chen 啊陈
'a'cheng'xu 啊程序
'a'chi'huo'qun 啊吃货群
'a'chu'fei 啊除非
'a'chu'ru'liang 啊出入量
'a'chu'yuan 啊出院
'a'chuang'ye'ban 啊创业板
'a'da 啊大
'a'da'lei 啊大类
'a'da'li'zhou 啊大理州
'a'da'pan 啊大盘
'a'da'zha'xie 啊大闸蟹
'a'da'zhang'qian 啊大涨前
'a'dai 啊带
'a'dan 啊单
'a'dan'ci 啊单次
'a'dan'ge 啊单个
'a'dan'shi 啊但是
'a'dang'chu 啊当初
'a'dao'bu'le 啊到不了
'a'dao'le 啊到了
'a'de 啊的
'a'deng 啊等
'a'deng'lu 啊登陆
'a'di'pan 啊底盘
'a'di'yi'ci 啊第一次
'a'di'yi'tian 啊第一天
'a'dian'nao 啊电脑
'a'dian'nao'li 啊电脑里
'a'ding'duo 啊顶多
'a'dou 啊都
'a'dou'shi 啊都是
'a'dou'you 啊都有
'a'du 阿杜
'a'du'li 啊独立
'a'dui'a 啊对啊
'a'dui'le 啊对了
'a'dui'yu 啊对于
'a'duo 啊多
'a'er'qie 啊而且
'a'fa 啊发
'a'fa'wan 啊发完
'a'fen 啊分
'a'fen'bian'lv 啊分辨率
'a'fu'wu'duan 啊服务端
'a'fu'xian 啊复现
'a'gai 啊该
'a'gai 啊改
'a'gai'cheng 啊改成
'a'gai'wan'hou 啊改完后
'a'gan'cui 啊干脆
'a'gan'jin 啊赶紧
'a'gan'ma 啊干嘛
'a'gang 啊刚
'a'gang'cai 啊刚才
'a'ge 啊哥
'a'gen'ting 阿根廷
'a'gen'ting'gou'qiang 阿根廷够呛
'a'gen'ting'he 阿根廷和
'a'geng 啊更
'a'geng'xin 啊更新
'a'gong'ji'jin 啊公积金
'a'gong'si 啊公司
'a'gong'ye'ji 啊工业级
'a'gong'zi'gao 啊工资高
'a'gong'zi'tiao 啊工资条
'a'gu'cheng'qu 啊古城区
